"yearID","teamID","name","G","R","RA","W","L","WinPct"
2021,"ARI","Arizona Diamondbacks",162,679,893,52,110,0.320987654320988
2021,"ATL","Atlanta Braves",161,790,656,88,73,0.546583850931677
2021,"BAL","Baltimore Orioles",162,659,956,52,110,0.320987654320988
2021,"BOS","Boston Red Sox",162,829,749,92,70,0.567901234567901
2021,"CHA","Chicago White Sox",162,796,636,93,69,0.574074074074074
2021,"CHN","Chicago Cubs",162,705,839,71,91,0.438271604938272
2021,"CIN","Cincinnati Reds",162,786,760,83,79,0.512345679012346
2021,"CLE","Cleveland Indians",162,717,727,80,82,0.493827160493827
2021,"COL","Colorado Rockies",161,739,796,74,87,0.459627329192547
2021,"DET","Detroit Tigers",162,697,756,77,85,0.475308641975309
2021,"HOU","Houston Astros",162,863,658,95,67,0.58641975308642
2021,"KCA","Kansas City Royals",162,686,788,74,88,0.45679012345679
2021,"LAA","Los Angeles Angels of Anaheim",162,723,804,77,85,0.475308641975309
2021,"LAN","Los Angeles Dodgers",162,830,561,106,56,0.654320987654321
2021,"MIA","Miami Marlins",162,623,701,67,95,0.41358024691358
2021,"MIL","Milwaukee Brewers",162,738,623,95,67,0.58641975308642
2021,"MIN","Minnesota Twins",162,729,834,73,89,0.450617283950617
2021,"NYA","New York Yankees",162,711,669,92,70,0.567901234567901
2021,"NYN","New York Mets",162,636,668,77,85,0.475308641975309
2021,"OAK","Oakland Athletics",162,743,687,86,76,0.530864197530864
2021,"PHI","Philadelphia Phillies",162,734,745,82,80,0.506172839506173
2021,"PIT","Pittsburgh Pirates",162,609,833,61,101,0.376543209876543
2021,"SDN","San Diego Padres",162,729,708,79,83,0.487654320987654
2021,"SEA","Seattle Mariners",162,697,748,90,72,0.555555555555556
2021,"SFN","San Francisco Giants",162,804,594,107,55,0.660493827160494
2021,"SLN","St. Louis Cardinals",162,706,672,90,72,0.555555555555556
2021,"TBA","Tampa Bay Rays",162,857,651,100,62,0.617283950617284
2021,"TEX","Texas Rangers",162,625,815,60,102,0.37037037037037
2021,"TOR","Toronto Blue Jays",162,846,663,91,71,0.561728395061728
2021,"WAS","Washington Nationals",162,724,820,65,97,0.401234567901235
