"yearID","teamID","name","G","R","RA","W","L","WinPct"
2025,"ARI","Arizona Diamondbacks",162,791,785,80,82,0.493827160493827
2025,"ATH","Athletics",162,733,817,76,86,0.469135802469136
2025,"ATL","Atlanta Braves",162,724,734,76,86,0.469135802469136
2025,"BAL","Baltimore Orioles",162,677,788,75,87,0.462962962962963
2025,"BOS","Boston Red Sox",162,786,676,89,73,0.549382716049383
2025,"CHA","Chicago White Sox",162,647,742,60,102,0.37037037037037
2025,"CHN","Chicago Cubs",162,793,649,92,70,0.567901234567901
2025,"CIN","Cincinnati Reds",162,716,681,83,79,0.512345679012346
2025,"CLE","Cleveland Guardians",162,643,649,88,74,0.54320987654321
2025,"COL","Colorado Rockies",162,597,1021,43,119,0.265432098765432
2025,"DET","Detroit Tigers",162,758,691,87,75,0.537037037037037
2025,"HOU","Houston Astros",162,686,665,87,75,0.537037037037037
2025,"KCA","Kansas City Royals",162,651,637,82,80,0.506172839506173
2025,"LAA","Los Angeles Angels of Anaheim",162,673,837,72,90,0.444444444444444
2025,"LAN","Los Angeles Dodgers",162,825,683,93,69,0.574074074074074
2025,"MIA","Miami Marlins",162,709,798,79,83,0.487654320987654
2025,"MIL","Milwaukee Brewers",162,806,634,97,65,0.598765432098765
2025,"MIN","Minnesota Twins",162,678,773,70,92,0.432098765432099
2025,"NYA","New York Yankees",162,849,685,94,68,0.580246913580247
2025,"NYN","New York Mets",162,766,715,83,79,0.512345679012346
2025,"PHI","Philadelphia Phillies",162,778,648,96,66,0.592592592592593
2025,"PIT","Pittsburgh Pirates",162,583,645,71,91,0.438271604938272
2025,"SDN","San Diego Padres",162,702,621,90,72,0.555555555555556
2025,"SEA","Seattle Mariners",162,766,694,90,72,0.555555555555556
2025,"SFN","San Francisco Giants",162,705,684,81,81,0.5
2025,"SLN","St. Louis Cardinals",162,689,754,78,84,0.481481481481481
2025,"TBA","Tampa Bay Rays",162,714,683,77,85,0.475308641975309
2025,"TEX","Texas Rangers",162,684,605,81,81,0.5
2025,"TOR","Toronto Blue Jays",162,798,721,94,68,0.580246913580247
2025,"WAS","Washington Nationals",162,687,899,66,96,0.407407407407407
