"yearID","teamID","name","G","R","RA","W","L","WinPct"
2023,"ARI","Arizona Diamondbacks",162,746,761,84,78,0.518518518518518
2023,"ATL","Atlanta Braves",162,947,716,104,58,0.641975308641975
2023,"BAL","Baltimore Orioles",162,807,678,101,61,0.623456790123457
2023,"BOS","Boston Red Sox",162,772,776,78,84,0.481481481481481
2023,"CHA","Chicago White Sox",162,641,841,61,101,0.376543209876543
2023,"CHN","Chicago Cubs",162,819,723,83,79,0.512345679012346
2023,"CIN","Cincinnati Reds",162,783,821,82,80,0.506172839506173
2023,"CLE","Cleveland Guardians",162,662,697,76,86,0.469135802469136
2023,"COL","Colorado Rockies",162,721,957,59,103,0.364197530864198
2023,"DET","Detroit Tigers",162,661,740,78,84,0.481481481481481
2023,"HOU","Houston Astros",162,827,698,90,72,0.555555555555556
2023,"KCA","Kansas City Royals",162,676,859,56,106,0.345679012345679
2023,"LAA","Los Angeles Angels of Anaheim",162,739,829,73,89,0.450617283950617
2023,"LAN","Los Angeles Dodgers",162,906,699,100,62,0.617283950617284
2023,"MIA","Miami Marlins",162,666,723,84,78,0.518518518518518
2023,"MIL","Milwaukee Brewers",162,728,647,92,70,0.567901234567901
2023,"MIN","Minnesota Twins",162,778,659,87,75,0.537037037037037
2023,"NYA","New York Yankees",162,673,698,82,80,0.506172839506173
2023,"NYN","New York Mets",162,717,729,75,87,0.462962962962963
2023,"OAK","Oakland Athletics",162,585,924,50,112,0.308641975308642
2023,"PHI","Philadelphia Phillies",162,796,715,90,72,0.555555555555556
2023,"PIT","Pittsburgh Pirates",162,692,790,76,86,0.469135802469136
2023,"SDN","San Diego Padres",162,752,648,82,80,0.506172839506173
2023,"SEA","Seattle Mariners",162,758,659,88,74,0.54320987654321
2023,"SFN","San Francisco Giants",162,674,719,79,83,0.487654320987654
2023,"SLN","St. Louis Cardinals",162,719,829,71,91,0.438271604938272
2023,"TBA","Tampa Bay Rays",162,860,665,99,63,0.611111111111111
2023,"TEX","Texas Rangers",162,881,716,90,72,0.555555555555556
2023,"TOR","Toronto Blue Jays",162,746,671,89,73,0.549382716049383
2023,"WAS","Washington Nationals",162,700,845,71,91,0.438271604938272
