"yearID","teamID","name","G","R","RA","W","L","WinPct"
2017,"ARI","Arizona Diamondbacks",162,812,659,93,69,0.574074074074074
2017,"ATL","Atlanta Braves",162,732,821,72,90,0.444444444444444
2017,"BAL","Baltimore Orioles",162,743,841,75,87,0.462962962962963
2017,"BOS","Boston Red Sox",162,785,668,93,69,0.574074074074074
2017,"CHA","Chicago White Sox",162,706,820,67,95,0.41358024691358
2017,"CHN","Chicago Cubs",162,822,695,92,70,0.567901234567901
2017,"CIN","Cincinnati Reds",162,753,869,68,94,0.419753086419753
2017,"CLE","Cleveland Indians",162,818,564,102,60,0.62962962962963
2017,"COL","Colorado Rockies",162,824,757,87,75,0.537037037037037
2017,"DET","Detroit Tigers",162,735,894,64,98,0.395061728395062
2017,"HOU","Houston Astros",162,896,700,101,61,0.623456790123457
2017,"KCA","Kansas City Royals",162,702,791,80,82,0.493827160493827
2017,"LAA","Los Angeles Angels of Anaheim",162,710,709,80,82,0.493827160493827
2017,"LAN","Los Angeles Dodgers",162,770,580,104,58,0.641975308641975
2017,"MIA","Miami Marlins",162,778,822,77,85,0.475308641975309
2017,"MIL","Milwaukee Brewers",162,732,697,86,76,0.530864197530864
2017,"MIN","Minnesota Twins",162,815,788,85,77,0.524691358024691
2017,"NYA","New York Yankees",162,858,660,91,71,0.561728395061728
2017,"NYN","New York Mets",162,735,863,70,92,0.432098765432099
2017,"OAK","Oakland Athletics",162,739,826,75,87,0.462962962962963
2017,"PHI","Philadelphia Phillies",162,690,782,66,96,0.407407407407407
2017,"PIT","Pittsburgh Pirates",162,668,731,75,87,0.462962962962963
2017,"SDN","San Diego Padres",162,604,816,71,91,0.438271604938272
2017,"SEA","Seattle Mariners",162,750,772,78,84,0.481481481481481
2017,"SFN","San Francisco Giants",162,639,776,64,98,0.395061728395062
2017,"SLN","St. Louis Cardinals",162,761,705,83,79,0.512345679012346
2017,"TBA","Tampa Bay Rays",162,694,704,80,82,0.493827160493827
2017,"TEX","Texas Rangers",162,799,816,78,84,0.481481481481481
2017,"TOR","Toronto Blue Jays",162,693,784,76,86,0.469135802469136
2017,"WAS","Washington Nationals",162,819,672,97,65,0.598765432098765
