"yearID","teamID","name","G","R","RA","W","L","WinPct"
2022,"ARI","Arizona Diamondbacks",162,702,740,74,88,0.45679012345679
2022,"ATL","Atlanta Braves",162,789,609,101,61,0.623456790123457
2022,"BAL","Baltimore Orioles",162,674,688,83,79,0.512345679012346
2022,"BOS","Boston Red Sox",162,735,787,78,84,0.481481481481481
2022,"CHA","Chicago White Sox",162,686,717,81,81,0.5
2022,"CHN","Chicago Cubs",162,657,731,74,88,0.45679012345679
2022,"CIN","Cincinnati Reds",162,648,815,62,100,0.382716049382716
2022,"CLE","Cleveland Guardians",162,698,634,92,70,0.567901234567901
2022,"COL","Colorado Rockies",162,698,873,68,94,0.419753086419753
2022,"DET","Detroit Tigers",162,557,713,66,96,0.407407407407407
2022,"HOU","Houston Astros",162,737,518,106,56,0.654320987654321
2022,"KCA","Kansas City Royals",162,640,810,65,97,0.401234567901235
2022,"LAA","Los Angeles Angels of Anaheim",162,623,668,73,89,0.450617283950617
2022,"LAN","Los Angeles Dodgers",162,847,513,111,51,0.685185185185185
2022,"MIA","Miami Marlins",162,586,676,69,93,0.425925925925926
2022,"MIL","Milwaukee Brewers",162,725,688,86,76,0.530864197530864
2022,"MIN","Minnesota Twins",162,696,684,78,84,0.481481481481481
2022,"NYA","New York Yankees",162,807,567,99,63,0.611111111111111
2022,"NYN","New York Mets",162,772,606,101,61,0.623456790123457
2022,"OAK","Oakland Athletics",162,568,770,60,102,0.37037037037037
2022,"PHI","Philadelphia Phillies",162,747,685,87,75,0.537037037037037
2022,"PIT","Pittsburgh Pirates",162,591,817,62,100,0.382716049382716
2022,"SDN","San Diego Padres",162,705,660,89,73,0.549382716049383
2022,"SEA","Seattle Mariners",162,690,623,90,72,0.555555555555556
2022,"SFN","San Francisco Giants",162,716,697,81,81,0.5
2022,"SLN","St. Louis Cardinals",162,772,637,93,69,0.574074074074074
2022,"TBA","Tampa Bay Rays",162,666,614,86,76,0.530864197530864
2022,"TEX","Texas Rangers",162,707,743,68,94,0.419753086419753
2022,"TOR","Toronto Blue Jays",162,775,679,92,70,0.567901234567901
2022,"WAS","Washington Nationals",162,603,855,55,107,0.339506172839506
