"season","Pythag_RMSE","FirstOrder_RMSE","PF_PctChange"
2006,0.0243832194237171,0.0252979458458154,3.75145876433601
2007,0.0248964829172856,0.0248201747125319,-0.306501946508994
2008,0.025882700486949,0.0258918922658895,0.0355132144929349
2009,0.0292804575999424,0.0269187513769814,-8.0658104980082
2010,0.0153041373114473,0.014984847989782,-2.08629415149402
2011,0.0238254276173231,0.025329962343624,6.31482779854493
2012,0.0228376348852173,0.023124161327917,1.25462397546764
2013,0.0220385845982094,0.0231399855920686,4.99760313077795
2014,0.0237815710348813,0.0227459787685148,-4.35459989101435
2015,0.0279582154029186,0.0296336188581261,5.9925264580108
2016,0.0276374077825767,0.027135513677237,-1.81599558572262
2017,0.0224245147100814,0.0220996432531354,-1.44873350057359
2018,0.028910400928481,0.0270204972582214,-6.53710640310697
2019,0.0213821266792329,0.0212208900204759,-0.754072133122262
2020,0.0328099995739286,0.035031540818593,6.77092738041255
2021,0.0296718788649873,0.0295685365971739,-0.348283532308935
2022,0.0194738808785118,0.0202905596095799,4.19371329301523
2023,0.0273901793452544,0.0263289931004803,-3.87433112940895
2024,0.0190406773538265,0.0197819058385155,3.89286825733714
2025,0.0267239409160911,0.0266129446196263,-0.415344042307553
