"season","FirstOrder_RMSE","SecondOrder_RMSE","PctChange"
2006,0.00349294396152354,0.0063269972843115,81.1365242044084
2007,0.00337796621155975,0.00500410961026494,48.1397177135863
2008,0.00347687806258333,0.00894922983703061,157.392686080607
2009,0.00453517941921658,0.00689137505756422,51.9537469314643
2010,0.00468366673930185,0.00703112902398619,50.1201818008567
2011,0.00587224061182581,0.00835348199087774,42.253741681754
2012,0.00482238465469653,0.0101698386796507,110.88816856918
2013,0.00530499938507362,0.00776137210659037,46.302978440075
2014,0.00324571005820927,0.00735981256348413,126.75508383348
2015,0.00481509230349764,0.00759854129214928,57.8067628450191
2016,0.00381718731919902,0.00820637503727112,114.984865846015
2017,0.00374871548655369,0.00731121547965027,95.0325519734682
2018,0.00426593388168332,0.0090026759615414,111.036462618333
2019,0.00564295806705003,0.0109172517300261,93.4668236110667
2020,0.0068465448481459,0.0130749968901596,90.9721937146218
2021,0.00498085525907614,0.010834643484534,117.52576457208
2022,0.00469374198187902,0.0108294698396177,130.72145596044
2023,0.00507104446642907,0.00906694339617034,78.7983413711831
2024,0.00509933956531568,0.00951862400262389,86.6638587350993
2025,0.00705476103575816,0.0151152014988728,114.25532944715
